"run","duration","date","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","experiment","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: 1e004d75433943748aff96f0","1min 12sec","11:44:48 · 10 Sep, 23","0.76537985","0.76019662","0.75514839","0.74058597","True","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 6d8e4c857e6f42989cd6796a","54sec 467ms","11:43:54 · 10 Sep, 23","0.76255818","0.74590987","0.74776275","0.71268263","True","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 30e9ace9f7e34c58a30d257d","45sec 808ms","11:43:08 · 10 Sep, 23","0.77144123","0.74352582","0.75451394","0.71975645","True","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 16b0c84cbdc342fc8014c0ba","26sec 839ms","11:42:41 · 10 Sep, 23","0.75522159","0.759198","0.74312432","0.72845725","True","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ab807a58d567480aabb05449","19sec 911ms","11:42:21 · 10 Sep, 23","0.76285472","0.72018529","0.74964031","0.69537029","True","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2107287c85524b42b6a9ef06","9sec 794ms","11:42:11 · 10 Sep, 23","0.75694728","0.72100193","0.69579373","0.63934237","True","True","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 01b7367e72ab48e5a990f97f","7sec 230ms","11:42:03 · 10 Sep, 23","0.80422323","0.81317316","0.76446456","0.72941176","True","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 08b892f991ba4b46b60438fd","1min 31sec","11:40:32 · 10 Sep, 23","0.76546733","0.74404626","0.70307651","0.66019559","False","True","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 64d4f2b06c4d4d3799e49b87","1min 29sec","11:39:02 · 10 Sep, 23","0.7619377","0.74562151","0.70836282","0.68071415","False","True","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5103bc6b50164020a9c3517c","53sec 709ms","11:38:08 · 10 Sep, 23","0.76537985","0.76019662","0.71237348","0.68012831","False","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: da5c4cf82a7e47f8b7a5432a","47sec 976ms","11:37:20 · 10 Sep, 23","0.76255818","0.74590987","0.71166949","0.66791322","False","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 57c199f253164ff98872a81c","40sec 497ms","11:36:39 · 10 Sep, 23","0.77144123","0.74352582","0.71335005","0.67317922","False","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: b068be33bee94a669d922bbd","33sec 127ms","11:36:06 · 10 Sep, 23","0.75522159","0.759198","0.7058426","0.67858048","False","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: c4fb9a1cb67045f08bf364d9","20sec 720ms","11:35:45 · 10 Sep, 23","0.76285472","0.72018529","0.71362993","0.6521167","False","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5b014b72be4345ed88e8cf8e","10sec 94ms","11:35:35 · 10 Sep, 23","0.75694728","0.72100193","0.67478158","0.57718474","False","True","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
